model_label,model,run_id,case_id,variant_id,strategy,route,rag_count,duration_ms,faithfulness_f,response_relevance_rr,error,source_file,source_line
DeepSeek V3.2,deepseek/deepseek-v3.2,2026-06-22T12-46-33-284Z,db-45,baseline,baseline,multi-agent,2,41653,0.5454545454545454,,,D:\Git\Pesquisas\SMART\smart\apps\api\evals\runs\deepseek-v32-2026-06-22\ragas.jsonl,1
DeepSeek V3.2,deepseek/deepseek-v3.2,2026-06-22T12-46-33-284Z,db-84,baseline,baseline,multi-agent,2,22246,1.0,,,D:\Git\Pesquisas\SMART\smart\apps\api\evals\runs\deepseek-v32-2026-06-22\ragas.jsonl,2
